nonstationary level,time series length,observation noise,process noise,evidence,significance_level
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
2,400,0.1,0.02,118.60289297589102,0.9999999999986205
0,400,0.1,0.04,-22.786774278668055,0.0052365156641659095
1,400,0.1,0.04,27.640644290830384,0.9982813457090294
2,400,0.1,0.04,63.51509745296355,0.9999995548667239
0,100,0.1,0.0,-22.69514820202099,0.005347570606927817
1,100,0.1,0.0,-22.713180248435236,0.0053255313517664715
2,100,0.1,0.0,-22.503386354802654,0.005587633098518349
0,200,0.1,0.0,-22.787509466205584,0.005235633925891178
1,200,0.1,0.0,-22.690012474559378,0.005353864213584715
2,200,0.1,0.0,-0.8907748331952587,0.4489018924973592
0,400,0.1,0.0,-22.787535848792828,0.005235602286999658
1,400,0.1,0.0,49.02538976199965,0.9999874842872145
2,400,0.1,0.0,148.02117591890584,0.9999999999999984
0,400,0.0,0.0,-22.78753600952829,0.005235602094240836
1,400,0.0,0.0,406.88753126667757,1.0
2,400,0.0,0.0,309.301634921599,1.0
0,400,0.1,0.0,-22.7875268937483,0.00523561302617081
1,400,0.1,0.0,26.6320208403295,0.9978330155971604
2,400,0.1,0.0,123.03149465309035,0.9999999999995024
0,400,0.2,0.0,-22.787535971948675,0.005235602139307451
1,400,0.2,0.0,-18.198360516231446,0.014915487061773862
2,400,0.2,0.0,12.722473097360043,0.949283572309387
0,400,0.3,0.0,-22.78746942987579,0.005235681939176154
1,400,0.3,0.0,-16.768143859100608,0.020612941703212914
2,400,0.3,0.0,-2.626307821067513,0.3532623544635394
0,400,0.1,0.0,-22.78753574395556,0.005235602412723686
1,400,0.1,0.0,72.84206268750101,0.9999999480250945
2,400,0.1,0.0,129.74137395639391,0.9999999999998939
0,400,0.1,0.02,-22.78753100842783,0.005235608091714938
1,400,0.1,0.02,78.38768167795662,0.9999999855045458
